facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,footnote,start_date,end_date
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,203,3.6,2.3,5.6,,4/1/19,3/31/22
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,264,11.3,9,14,,7/1/19,6/30/22
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,132,2.2,1.1,4.2,,7/1/19,6/30/22
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,204,7.1,5.1,10,,7/1/19,6/30/22
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,MORT_30_HF,Death rate for heart failure patients,Better Than the National Rate,590,8.4,6.6,10.7,,7/1/19,6/30/22
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,MORT_30_PN,Death rate for pneumonia patients,Better Than the National Rate,443,14.1,11.5,17.3,,7/1/19,6/30/22
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,561,13.4,11.2,15.6,,7/1/19,6/30/22
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_03,Pressure ulcer rate,Worse Than the National Rate,7688,1.25,0.64,1.85,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_04,Death rate among surgical inpatients with serious treatable complications,Worse Than the National Rate,147,185.98,154.18,217.79,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,10295,0.19,0.06,0.32,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,10972,0.03,0,0.14,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,2864,1.89,0.77,3.01,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,1481,0.47,0,1.32,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,1492,4.49,1.09,7.88,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,3090,2.93,1.31,4.55,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,1476,4.21,1.89,6.52,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,872,0.58,0,1.42,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,2217,1,0.03,1.96,,7/1/19,6/30/21
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.95,0.72,1.18,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,4/1/19,3/31/22
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/22
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,Not Available,5,7/1/19,6/30/22
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,31,7.8,4.7,12.5,,7/1/19,6/30/22
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,30,14.4,9.3,21.1,,7/1/19,6/30/22
